# Copper heating vs time
# time in s; temperature in ºC
time	Temperature
0	24.48
1	25.44
2	27.78
3	29.84
4	31.85
5	33.85
6	35.82
7	37.75
8	39.66
9	41.54
10	43.4
11	45.24
12	47.05
13	48.86
14	50.64
15	52.41
16	54.15
17	55.88
18	57.59
19	59.28
20	60.95
21	62.61
22	64.26
23	65.88
24	67.48
25	69.08
26	70.65
27	72.21
28	73.78
29	75.34
30	76.88
31	78.41
32	79.93
33	81.4
34	82.9
35	84.4
36	85.8
37	87.2
38	88.6
39	89.9
40	91.3
41	92.6
42	93.9
43	95.2
44	96.6
45	97.8
46	99.1
47	100.4
48	101.7
49	102.9
50	104.2
51	105.4
52	106.6
53	107.8
54	109
55	110.2
56	111.4
57	112.6
58	113.8
59	114.9
60	116.1
61	117.3
62	118.4
63	119.5
64	120.6
65	121.7
66	122.8
67	123.9
68	124.9
69	126
70	127
71	128.1
72	129.1
73	130.1
74	131.2
75	132.2
76	133.2
77	134.2
78	135.2
79	136.3
80	137.3
81	138.3
82	139.2
83	140.1
84	141
85	141.8
86	142.7
87	143.6
88	144.5
89	145.3
90	146.1
91	146.9
92	147.8
93	148.5
94	149.3
95	150.1
96	150.9
97	151.6
98	152.3
99	152.9
100	153.7
101	154.3
102	155.1
103	155.8
104	156.6
105	157.4
106	158.1
107	158.8
108	159.4
109	160
110	160.5
111	161.1
112	161.5
113	162.2
114	162.6
115	163.1
116	163.7
117	164.3
118	164.9
119	165.5
120	166.2
121	166.8
122	167.4
123	168
124	168.6
125	169.1
126	169.7
127	170.2
128	170.7
129	171.2
130	171.7
131	172.2
132	172.8
133	173.3
134	173.8
135	174.3
136	174.8
137	175.4
138	175.9
139	176.3
140	176.8
141	177.4
142	177.9
143	178.4
144	178.8
145	179.3
146	179.8
147	180.2
148	180.6
149	181
150	181.4
151	181.9
152	182.3
153	182.8
154	183.2
155	183.6
156	184.1
157	184.4
158	184.8
159	185.2
160	185.6
161	186
162	186.4
163	186.8
164	187.2
165	187.6
166	187.9
167	188.3
168	188.7
169	189.1
170	189.5
171	189.9
172	190.2
173	190.6
174	191
175	191.3
176	191.7
177	192.1
178	192.4
179	192.8
180	193.1
181	193.4
182	193.8
183	194.1
184	194.4
185	194.7
186	195
187	195.3
188	195.6
189	196
190	196.3
191	196.6
192	196.9
193	197.1
194	197.4
195	197.7
196	198
197	198.3
198	198.6
199	198.8
200	199.1
201	199.4
202	199.7
203	199.9
204	200.1
205	200.4
206	200.7
207	201.1
208	201.4
209	201.6
210	201.9
211	202.2
212	202.5
213	202.7
214	203
215	203.3
216	203.5
217	203.8
218	204
219	204.2
220	204.4
221	204.7
222	204.9
223	205.1
224	205.3
225	205.6
226	205.8
227	206
228	206.3
229	206.5
230	206.7
231	207
232	207.2
233	207.5
234	207.7
235	207.9
236	208.2
237	208.4
238	208.6
239	208.8
240	209
241	209.2
242	209.5
243	209.7
244	209.9
245	210.1
246	210.3
247	210.4
248	210.6
249	210.8
250	211
251	211.2
252	211.4
253	211.6
254	211.8
255	212
256	212.1
257	212.3
258	212.5
259	212.7
260	212.9
261	213.1
262	213.3
263	213.5
264	213.8
265	213.9
266	214.1
267	214.3
268	214.5
269	214.7
270	214.8
271	215
272	215.2
273	215.4
274	215.6
275	215.8
276	216
277	216.2
278	216.4
279	216.6
280	216.8
281	217
282	217.2
283	217.4
284	217.6
285	217.8
286	218
287	218.2
288	218.4
289	218.6
290	218.8
291	218.9
292	219.1
293	219.3
294	219.4
295	219.6
296	219.8
297	220
298	220.1
299	220.3
300	220.5
301	220.7
302	220.8
303	221
304	221.2
305	221.3
306	221.5
307	221.6
308	221.8
309	221.9
310	222
311	222.1
312	222.2
313	222.4
314	222.5
315	222.6
316	222.7
317	222.9
318	223.1
319	223.3
320	223.4
321	223.6
322	223.8
323	224
324	224.2
325	224.4
326	224.5
327	224.7
328	224.8
329	225
330	225.1
331	225.3
332	225.4
333	225.5
334	225.6
335	225.8
336	225.9
337	226
338	226.2
339	226.4
340	226.5
341	226.7
342	226.8
343	227
344	227.2
345	227.3
346	227.5
347	227.7
348	227.8
349	228
350	228.2
351	228.3
352	228.4
353	228.5
354	228.6
355	228.8
356	228.9
357	229
358	229.1
359	229.2
360	229.3
361	229.4
362	229.6
363	229.6
364	229.7
365	229.8
366	229.9
367	230
368	230
369	230.1
370	230.3
371	230.4
372	230.5
373	230.6
374	230.7
